ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B07QGTV9ZZ" ,"Ampeak 2000W Power Inverter 3 AC Outlets DC 12V to 110V AC Car Converter 2.1A USB Inverter" ,"Ampeak" ,"Automotive" ,"$172,788.48" ,"1,152" ,"$154.99" ,"$28.84" ,"$126.15" ,"1,995" ,"1385" ,"6" ,"8" ,"05/14/2017" ,"Autoer-US" ,"4.4" ,"14.84" x 11.69" x 5.98"" ,"Standard (Large)" ,"8.79 lbs"
"B07N6NDL6M" ,"EZAUTOWRAP Free Tool Kit 3M 1080 2080 Matte Black Vinyl Wrap Kit for Black Out Chrome Delete Window Trim Door Trim 4" x75Ft" ,"EzAuto Wrap" ,"Automotive" ,"$173,057.18" ,"1,282" ,"$134.99" ,"$24.39" ,"$110.60" ,"2,807" ,"900" ,"7" ,"2" ,"07/15/2019" ,"TMH TRADING GROUP" ,"4.5" ,"4.68" x 5.16" x 6.57"" ,"Standard (Large)" ,"1.8298 lbs"
"B01LTA5X1K" ,"VViViD Satin Flat Matte Stealth Jet Black Vinyl Wrap Roll with Air Release Technology (100ft x 5ft)" ,"VViViD" ,"Automotive" ,"$170,706.03" ,"397" ,"$364.99" ,"$75.57" ,"$289.42" ,"6,745" ,"348.5" ,"4" ,"1" ,"09/07/2016" ,"VViViD Vinyl" ,"4.4" ,"6.20" x 7.80" x 62.00"" ,"Oversize (Medium)" ,"33.3008 lbs"
"B08GHTCP8G" ,"Coleman Powersports CT100U-B Gas Powered Trail Mini-Bike | 98cc/3.0HP | Black" ,"Coleman Powersports" ,"Automotive" ,"$166,046.31" ,"369" ,"$449.99" ,"$104.37" ,"$345.62" ,"13,133" ,"1080" ,"4" ,"1" ,"09/01/2016" ,"Yerf-Dog" ,"4.3" ,"39.00" x 25.00" x 16.00"" ,"Oversize (Medium)" ,"101 lbs"
"B08L38JMGY" ,"FieryRed Electric Winch - 13000 lb. Load Capacity Synthetic Rope winchesFit for Jeep  Truck  SUV  Trailer with Wirless Remote & Corded Control" ,"FieryRed" ,"Automotive" ,"$163,995.90" ,"410" ,"$179.99" ,"$80.96" ,"$99.03" ,"5,797" ,"286.3333333333333" ,"6" ,"1" ,"10/26/2020" ,"Offroad 4×4" ,"4.4" ,"14.00" x 14.00" x 23.00"" ,"Oversize (Small)" ,"65.9998 lbs"
"B0744B55QV" ,"Autel Scanner MaxiCOM MK808  2021 Newest OBD2 Car Diagnostic Scanner  Equipped with 25+ Maintenance Functions  All System Diagnosis  IMMO/EPB/BMS/SAS/TPMS/AutoVIN/ABS Bleeding (Original)" ,"Autel" ,"Automotive" ,"$162,381.00" ,"339" ,"$479.00" ,"$67.13" ,"$411.87" ,"10,884" ,"739" ,"8" ,"2" ,"07/21/2012" ,"Motorzone" ,"4.6" ,"14.88" x 11.69" x 4.69"" ,"Standard (Large)" ,"5.65 lbs"
"B08KG7D13D" ,"Seat Covers for Cars Full Set Pickup 2007-2021 Sierra Silverado 1500 2500HD 3500HD Crew Double Extended Cab  Waterproof Leather Truck Seat Protectors Compatible with Split Bench(Full Set  Black-Blue)" ,"Aierxuan" ,"Automotive" ,"$161,991.90" ,"810" ,"$199.99" ,"$37.37" ,"$162.62" ,"7,106" ,"90" ,"7" ,"1" ,"09/29/2020" ,"YI Tai" ,"4.566666666666666" ,"6.00" x 22.25" x 25.50"" ,"Oversize (Small)" ,"14.4491 lbs"
"B07VKF2Y4Q" ,"LUCKYMAN CLUB Car Seat Covers fit Sedan SUV fit for Sportage Soul Optima Forte Sorento Accord Civic CRV Cr-v Ridgeline (Full Set  Beige)" ,"LUCKYMAN CLUB" ,"Automotive" ,"$153,992.30" ,"770" ,"$199.99" ,"$36.82" ,"$163.17" ,"4,302" ,"1406" ,"4" ,"1" ,"07/21/2019" ,"LUCKYMAN CLUB" ,"4.4" ,"6.25" x 21.50" x 26.00"" ,"Oversize (Small)" ,"13.0007 lbs"
"B01MCRTPKC" ,"Milton 690BK 1/4" FNPT Dual Head Air Chuck - Box of 50" ,"Milton" ,"Automotive" ,"$153,900.00" ,"855" ,"$180.00" ,"$29.46" ,"$150.54" ,"N.A." ,"1366" ,"3" ,"5" ,"12/17/2008" ,"EK Direct" ,"4.7" ,"6.76" x 3.30" x 1.57"" ,"Standard (Large)" ,"0.95 lbs"
"B08C9GRMLV" ,"LUCKYMAN CLUB 56-SLD Seat Covers Fit for 2007-2020 Chevy Silverado Sierra 1500/2500 HD / 3500 HD Crew Double Extended Cab with Water Proof Faux Leather (Black & Blue Full Set)" ,"LUCKYMAN CLUB" ,"Automotive" ,"$153,827.00" ,"773" ,"$199.00" ,"$36.91" ,"$162.09" ,"3,585" ,"49.333333333333336" ,"7" ,"1" ,"07/02/2020" ,"LUCKYMAN CLUB" ,"4.3999999999999995" ,"6.00" x 22.00" x 26.00"" ,"Oversize (Small)" ,"13.5496 lbs"
